#{"t_start": 1768398537.5001783, "env_id": "None"}
r,l,t
94.293741,57,1.091009
-352.253083,104,2.47813
-12.507278,42,2.976636
141.757528,54,3.582606
80.513842,84,4.50936
-81.647858,56,5.113305
-94.057957,50,5.642079
15.845075,43,6.093878
-2.921156,37,6.475489
3.266527,59,7.109119
-79.331653,51,7.63697
48.017934,88,8.593233
-51.710831,46,9.12888
-49.737384,42,9.614943
57.238795,44,10.122773
181.831253,55,10.759799
-59.112764,92,11.851406
76.723233,39,12.296652
86.245046,67,13.078999
51.035762,39,13.5327
-569.816625,176,15.665855
126.522198,64,16.383745
23.123758,40,16.830075
37.945515,46,17.353401
48.187268,65,18.099505
106.140937,55,18.731756
66.14533,47,19.254957
291.302539,71,20.06757
6.848332,37,20.499432
101.822241,35,20.912826
-164.446389,35,21.324811
99.323327,48,21.883568
49.672064,34,22.280502
86.806285,52,22.896957
96.91377,36,23.324442
47.131507,42,23.812231
-67.572967,28,24.136061
222.988167,86,25.124621
97.10638,54,25.722157
33.445976,51,26.291502
48.179546,50,26.874952
-66.801234,60,27.585393
-19.843174,59,28.247505
56.097454,40,28.696083
50.569673,45,29.216836
10.890411,90,30.291354
-11.406489,33,30.669616
108.310718,41,31.139878
-610.941771,96,32.301763
103.286102,53,32.909833
158.076073,42,33.377096
-181.73054,52,33.972628
59.187739,31,34.322675
53.821518,46,34.847855
-43.938202,53,35.448787
40.097613,55,36.065723
155.300819,61,36.765065
30.623,58,37.432893
86.66422,52,38.020778
-7.951527,100,39.184819
81.988855,42,39.68003
-67.29031,42,40.180618
-185.335564,59,40.874999
153.617436,59,41.554693
156.370814,90,42.621336
133.886017,62,43.32685
57.426356,54,43.926464
211.563536,116,45.215068
126.777231,112,46.483067
-13.976512,70,47.271467
112.87646,46,47.779246
92.079384,43,48.252429
-19.622185,372,52.651891
152.367171,90,53.678307
167.79713,115,54.987188
-14.175413,44,55.493371
-20.735667,107,56.770419
193.168073,69,57.573617
111.606673,39,58.031162
247.594375,93,59.131846
267.049968,92,60.235106
31.953439,49,60.818105
-2.796753,93,61.899483
314.057499,89,62.903054
103.64493,41,63.375973
160.425278,48,63.941679
-76.853041,82,64.859963
-84.472999,59,65.536919
270.331898,207,67.951379
-1.599586,45,68.465773
-38.643158,120,69.855214
364.031169,125,71.314402
197.208719,51,71.921468
115.260981,37,72.364515
-161.992438,58,73.027172
119.144551,48,73.576453
111.384164,46,74.094241
181.540797,60,74.782077
44.186857,54,75.392671
14.26638,60,76.08313
-413.030724,135,77.67983
-39.805187,57,78.34737
88.519256,32,78.74141
330.419993,125,80.254081
-100.705368,91,81.341234
71.987146,52,82.240385
154.411966,84,83.910069
270.852535,89,85.732416
275.900253,73,87.230498
138.796461,47,88.183609
158.25745,129,90.841441
340.990141,110,92.995087
225.857354,78,94.634114
398.382058,173,98.042918
259.561745,90,99.852314
189.969139,56,100.973452
195.244936,61,102.220441
313.298362,143,105.089232
227.517022,98,107.036873
179.979324,71,108.44219
-40.604207,64,109.76197
106.847223,35,110.448186
103.451744,35,111.171786
228.324693,87,112.986741
87.483325,75,114.525785
129.88879,42,115.343733
286.29407,114,117.620275
274.197516,109,119.800181
194.81094,102,121.903425
177.385773,123,124.39428
328.169146,94,126.2699
23.986675,118,128.636879
327.213517,76,130.186728
387.276764,106,132.284765
138.53787,43,133.122489
165.225253,59,134.275513
200.487633,48,135.25386
193.81662,102,137.377934
376.84088,130,139.979899
211.699092,80,141.569891
-1.166259,9,143.98673
-49.226614,61,145.212468
45.566085,62,146.434366
-73.407966,51,147.445539
-36.881461,70,148.839095
-36.468973,73,150.284312
145.396623,79,151.819181
108.033909,59,152.967573
74.381152,63,154.216389
-23.332763,173,157.684882
173.754391,62,158.895396
11.513426,97,160.828588
104.130234,53,161.888323
21.484938,34,162.546659
67.426542,41,163.351702
166.190771,103,165.401453
185.015161,78,166.929769
152.853961,58,168.073797
130.236755,176,171.589994
-372.872856,102,173.590154
187.347643,61,174.803391
91.376526,385,182.423365
140.053696,155,185.523324
245.204928,216,189.827537
396.131415,104,191.864298
22.743705,137,194.673834
177.3103,143,197.48661
209.478286,136,200.19932
267.992996,123,202.620282
-13.704275,98,204.532933
357.993949,126,207.003168
649.628783,184,210.655028
366.79291,115,212.960961
440.434183,192,216.74835
369.136518,93,218.570377
349.289476,153,221.596495
201.885775,77,223.134778
435.157407,185,226.886311
202.990415,58,227.840101
371.469698,210,229.960224
418.52824,117,231.12261
388.81689,126,232.335791
509.676608,150,233.781492
11.797815,70,234.50816
-34.808424,102,235.615907
425.37755,178,237.61846
299.199479,108,238.826699
315.812411,119,240.204961
-188.520695,127,241.589095
208.26672,297,244.925463
-40.354061,60,245.600382
150.970791,126,247.034868
235.70123,150,248.744104
546.691945,202,251.093883
81.153051,163,252.967977
473.508302,123,254.333654
371.400884,124,255.712862
-221.424344,225,258.224552
563.409008,323,261.876575
268.370753,84,262.797618
69.218505,57,263.422652
303.011341,80,264.272893
302.649589,157,265.812475
262.259783,72,266.51211
162.100829,110,267.57984
233.162527,105,268.592565
628.993115,300,271.513355
491.736384,134,272.805404
1216.659359,445,277.156894
429.539828,181,278.962543
220.140235,337,282.274498
499.237214,375,285.921377
524.137729,227,291.02969
-153.9858,86,291.899594
535.315211,1897,310.895421
880.128778,270,313.557837
803.850767,732,320.832093
338.718264,110,321.903341
208.551876,72,322.607788
418.684733,361,326.081851
772.557675,392,329.866966
349.27583,92,330.75753
650.434239,180,332.504642
775.163277,214,334.557942
244.783068,123,335.746901
-209.476511,170,337.401468
196.140843,124,338.605434
189.730583,62,339.204858
-1162.620052,435,343.425453
520.175277,179,345.151198
172.818099,328,348.315888
577.438553,285,351.051979
1667.98791,436,355.540347
984.902346,522,361.704672
1802.011628,437,368.508188
978.030337,227,372.987447
469.664604,101,374.98167
870.301901,287,380.736728
1299.128129,295,386.610765
2396.363972,649,399.77684
1433.333906,415,408.268368
-1017.567127,188,412.22178
829.581085,166,415.481633
349.476536,71,416.854793
-72.206799,77,418.495287
23.7826,17,424.508029
-1038.126561,168,427.902015
-257.95828,158,431.014801
270.725,96,432.901946
266.705918,60,434.066134
716.424587,232,438.665849
1614.080589,389,446.476677
327.447051,102,448.532531
230.622392,69,450.006146
604.680611,146,453.19668
2209.00139,634,466.578413
285.014294,120,468.9967
2265.890447,541,479.812855
110.280512,86,481.512183
209.063419,332,488.178929
381.47893,83,489.831029
1882.329455,571,501.278674
482.712612,103,503.303748
1747.677803,548,514.09867
260.438661,132,516.698972
2268.157785,515,526.85351
660.141498,211,531.010901
301.83356,120,533.348455
1099.94416,287,538.996395
1158.858333,256,544.005049
265.306083,108,546.107416
2283.853471,588,557.781811
893.595557,216,562.097276
685.022703,135,564.779273
506.216164,142,567.593484
2129.461229,473,577.08518
871.905382,191,580.90378
2356.112084,559,591.991637
744.841969,253,596.990467
2124.339019,580,608.684937
942.925957,348,615.632515
1859.148864,448,631.959764
-880.95991,119,634.456902
38.774543,33,635.133856
28.159015,77,636.717678
1543.66341,376,644.396438
1746.483837,385,652.211232
2709.197817,702,666.38113
478.142753,213,670.651602
2575.261772,496,680.539068
1441.345079,555,691.588427
-414.906561,311,697.78464
2723.708315,568,709.162268
1823.005724,398,717.087969
1510.627675,805,733.631745
2303.996078,498,743.909584
1703.736045,436,753.166656
2580.177713,511,763.629665
1573.300375,340,770.486154
394.334731,161,773.75775
535.585273,271,779.195746
2424.854728,462,788.476752
2576.985108,424,797.093101
157.713579,49,798.047279
-298.983719,146,800.982925
235.468359,65,802.267104
2631.584104,572,813.890233
2332.586253,528,824.841596
1231.539916,391,833.215157
319.562953,108,849.163138
-117.99636,79,850.719676
284.305758,122,853.324803
125.521219,94,855.353393
186.372208,47,856.392593
360.192191,126,859.135866
163.517992,79,860.758036
-4628.775967,667,875.095579
1220.617821,276,880.933
2751.455719,477,890.92167
113.980797,157,894.098651
-180.825267,211,898.432846
2198.699209,462,907.960049
2510.456172,521,918.915195
2625.324062,518,927.392339
2331.71474,484,937.756711
2709.096684,486,947.650592
1395.331867,379,955.663848
58.123496,149,958.804644
923.880508,198,962.862167
1495.879649,561,975.853234
-756.031991,186,980.075794
2544.724714,503,990.872589
2411.971683,445,1000.086009
2566.561884,508,1010.321598
2580.811772,477,1019.750726
736.837868,211,1023.947147
2464.9783,500,1033.834825
2108.936367,467,1043.292072
2618.585563,435,1052.163954
-297.440108,175,1064.293263
36.827565,34,1065.057924
50.288262,26,1065.57743
45.23377,80,1067.199045
-165.929065,103,1069.308624
461.739273,133,1071.957903
2522.509888,425,1080.381088
1917.24988,399,1088.291617
2112.121679,439,1096.991699
501.412746,139,1099.714057
-833.898213,265,1105.020661
2107.443473,441,1113.788233
2045.757573,459,1122.85256
2687.268851,474,1132.235214
41.063393,186,1135.896411
2231.384064,478,1145.403295
2640.382078,425,1153.921707
2337.596998,419,1162.186153
2526.635947,394,1170.010787
2552.985676,410,1178.112791
1146.749367,214,1182.319113
2364.626976,513,1192.49065
732.017852,259,1197.594433
2493.302619,434,1206.209132
2290.33044,428,1214.653491
2308.00779,438,1223.390041
2354.267956,491,1233.067307
2352.018783,385,1240.589713
2276.501539,437,1249.157992
2419.247276,445,1258.238122
1469.226127,227,1268.582633
-131.019291,77,1270.075964
-150.659233,130,1272.608192
68.081264,55,1273.669799
2144.412113,525,1284.657106
560.412716,201,1288.704892
1793.822231,380,1296.627611
2407.298802,455,1305.841914
2649.172621,398,1313.989304
2479.690445,441,1323.011724
975.170791,255,1328.084892
2541.764741,416,1336.452952
2357.618114,446,1345.384321
1055.097608,248,1350.345065
1844.629088,505,1360.451491
1043.780376,253,1365.492295
2662.355232,412,1373.786111
1828.500124,388,1381.495417
2675.891886,425,1389.998191
2603.813069,417,1398.450988
2419.222861,395,1406.20282
2633.055288,424,1414.610785
2503.40526,391,1422.397315
2437.65989,455,1431.454736
341.10636,94,1433.291298
246.045781,205,1437.293708
2480.726323,441,1445.993392
1579.820301,362,1453.109594
2270.613029,440,1461.780284
1031.395271,269,1467.252724
107.334598,92,1469.046428
2.576474,5,1477.380122
-199.251288,107,1479.570525
2467.21637,474,1489.497106
447.226766,199,1493.578511
2375.667919,413,1502.030648
2597.15896,396,1510.034902
2371.604429,446,1519.043051
303.458767,68,1520.428377
2073.200241,497,1530.516487
2526.242754,440,1539.500352
2583.431621,514,1549.855978
2759.40513,469,1559.379654
2513.280406,401,1567.485153
2405.905761,407,1575.818093
2797.473507,558,1587.136695
2555.568824,421,1595.611751
2607.125047,433,1604.316232
508.262026,264,1609.592422
2546.641856,398,1617.645181
639.07678,197,1621.655058
2102.911511,400,1629.812456
-337.616968,194,1633.708686
2241.162494,388,1641.593719
2544.922665,405,1649.81167
2390.006893,424,1658.418584
2626.925723,415,1666.816857
2529.775338,423,1675.320009
1387.10806,249,1690.625644
38.266503,71,1692.038446
2115.612266,607,1704.032972
2665.781994,409,1712.081866
2255.405776,388,1719.823454
2568.405089,444,1728.827555
2589.787282,379,1736.514872
2630.746241,423,1745.16961
2373.846798,388,1752.84204
-191.066259,251,1757.823531
2660.023103,406,1765.863271
391.755989,313,1772.039959
2523.958904,388,1779.680608
2453.005589,386,1787.336449
2645.464875,415,1795.480712
2646.504346,407,1803.591225
-93.538508,214,1807.805728
2057.731515,441,1816.785704
2554.438727,391,1824.873463
2573.779623,415,1833.434952
2398.658694,403,1841.435848
2400.159789,384,1849.047438
2388.935274,667,1862.183727
2575.657875,388,1869.944317
2661.327881,420,1878.348902
2237.161692,431,1887.046554
1149.221704,171,1900.956352
-308.398378,68,1902.26339
-203.011132,168,1905.765531
2608.394015,375,1913.321372
2137.050268,381,1920.97352
2445.485017,435,1929.606529
402.400183,84,1931.23283
2506.692945,391,1939.038376
2026.799942,384,1946.634646
2254.24407,394,1954.495643
2342.423459,384,1962.406338
2288.470392,431,1970.939623
2377.265906,423,1979.242252
1448.12271,219,1983.527797
2539.211956,423,1992.020609
338.78265,87,1993.826709
2442.47799,400,2001.659122
2246.576823,393,2009.399402
2294.865315,379,2016.918383
2213.843996,390,2024.642352
2427.191575,397,2032.46498
2552.486898,377,2039.999233
387.692676,80,2041.565163
1456.244045,253,2046.624716
2459.120344,387,2054.686239
390.227357,162,2057.976458
2418.641574,392,2065.998335
2695.816617,396,2072.776573
2484.742815,436,2077.160842
2278.662093,454,2082.097962
127.851539,109,2083.177913
523.768247,105,2084.254935
576.951173,135,2085.629847
701.172302,108,2089.781321
-70.156635,35,2090.195554
-149.33991,143,2091.894855
2455.411156,422,2096.560955
2546.272585,444,2101.55677
2712.365087,421,2106.310847
2591.073656,411,2110.655813
337.040674,99,2111.698726
647.850223,118,2112.923514
2177.943859,510,2117.95928
2336.455759,419,2122.280211
420.907073,95,2123.231902
176.904985,141,2124.627755
541.010962,179,2126.438226
512.091694,103,2127.536904
512.50581,113,2128.873417
2477.206383,438,2133.443107
2540.550887,387,2137.619925
2384.173474,370,2141.650123
2739.287741,456,2146.521352
693.173754,131,2147.946792
1069.826588,200,2150.014324
1015.262378,179,2152.062928
2464.512309,466,2157.591573
796.187683,132,2159.153384
936.660294,206,2161.565126
2423.369859,399,2166.50486
2393.016095,435,2171.71151
2434.427089,398,2176.535971
2617.303083,406,2181.497638
2307.143853,406,2186.30242
825.958748,237,2188.936273
1063.642819,239,2191.566803
1086.703996,536,2197.775582
1027.930584,212,2200.127113
615.024204,114,2206.630485
205.972767,76,2207.539007
1879.93567,868,2217.37375
2254.36174,494,2222.99562
735.675231,168,2224.891725
690.002012,166,2226.735075
2635.583427,435,2231.678182
2419.308187,368,2236.052542
2363.232789,395,2242.797251
906.582837,186,2246.311747
172.761051,499,2255.847445
2477.730793,688,2268.95008
1258.0555,302,2274.658045
2604.357824,368,2281.62586
2365.580164,388,2288.984471
1308.182871,302,2294.706922
2572.186987,412,2302.509045
2454.584561,394,2309.889317
1611.853321,292,2315.378527
2463.10306,431,2323.499132
2609.138847,393,2330.882176
1597.50933,272,2335.97724
2444.18002,422,2343.895542
2675.327993,363,2350.84661
2415.384185,443,2359.172526
1638.910168,339,2365.536165
1861.740042,328,2371.68625
1361.304274,208,2384.780478
107.677674,57,2385.883764
2422.843258,379,2393.580803
716.781427,239,2398.311071
2639.207857,391,2405.815881
2132.283541,406,2413.583635
2560.852302,379,2420.853917
2496.157604,377,2428.054919
2370.738599,361,2434.961982
2484.978159,360,2441.840189
2589.823689,397,2449.404935
2659.039421,370,2456.482542
2535.628436,433,2464.931864
2504.86716,386,2472.521513
12.233687,119,2474.778391
2712.661093,389,2482.218953
2571.076373,361,2489.21627
2458.236186,370,2496.280655
2498.213912,424,2504.358865
2449.79016,377,2511.513148
2560.613496,368,2518.533696
2296.021737,366,2525.503586
2514.6154,365,2532.472697
2568.62976,395,2539.993423
2677.711684,372,2547.131918
2591.849674,384,2554.414328
2408.260669,383,2561.70181
2548.572568,342,2568.18581
2639.838034,387,2575.546968
411.326621,63,2585.397076
-425.602954,104,2587.391404
89.404876,189,2590.990649
150.15225,79,2592.605121
1606.506321,263,2597.59161
2402.921688,422,2605.621377
2541.953955,430,2613.757109
2667.289903,406,2621.830457
2491.676311,381,2626.348303
2391.331511,387,2630.096678
2568.273224,377,2634.134105
2644.26493,388,2638.550469
2669.532768,374,2642.860195
2668.874791,405,2647.349677
2631.989306,383,2651.620465
2613.992072,370,2655.796686
2413.625682,394,2660.166372
2461.938954,389,2664.616302
2600.090486,446,2671.669336
2511.928389,426,2680.363671
2697.285792,384,2687.861147
1887.495472,308,2693.885465
2534.891189,424,2702.228581
2444.696018,371,2709.493285
2591.772761,393,2717.219882
2710.876943,371,2724.615913
2655.025457,379,2732.346846
2497.084451,385,2740.015035
2033.950701,372,2757.259261
165.280452,252,2759.923425
-249.302914,84,2760.807031
-576.962078,215,2763.090461
-695.055811,248,2766.011236
108.855676,133,2767.418854
434.691679,118,2768.646409
941.066006,224,2770.926773
2472.565077,451,2776.762815
2448.474899,464,2786.95564
2651.273441,388,2794.736161
2112.885232,447,2803.608006
2381.975508,354,2810.782259
2581.111403,404,2819.016186
2673.418978,396,2827.246422
2715.211017,382,2835.212188
2929.24858,478,2845.295362
2629.831336,410,2853.528438
845.922089,208,2857.583629
778.592575,148,2860.509741
-102.839587,444,2869.957068
2337.15347,449,2879.634753
2387.45958,357,2887.329029
2589.794552,387,2895.489209
2716.905792,385,2903.429904
833.483227,213,2908.014514
2420.865413,358,2915.082849
2127.264364,455,2924.376732
2661.096013,381,2932.20814
2507.653324,366,2939.920636
2660.166141,380,2950.313364
65.288381,21,2961.449165
-262.884172,103,2963.954803
2611.405329,389,2973.426525
2673.098874,401,2982.255219
162.015525,63,2983.462104
2668.6315,510,2993.57444
2501.191088,407,3001.67622
2552.965634,398,3009.429005
2124.594536,372,3014.061196
2561.087514,434,3018.835384
2658.048657,374,3023.142357
2798.439014,392,3027.66319
2600.114067,371,3032.01076
2534.60283,373,3036.222351
183.353585,68,3036.991645
2565.273983,364,3041.253881
2607.539519,348,3045.276423
2660.536567,381,3049.622225
2471.779983,367,3053.82308
2567.220434,377,3058.108305
2437.815105,398,3062.491288
2281.758063,358,3066.45374
2485.041625,384,3070.777164
2480.962139,401,3075.075781
1584.835352,499,3080.535189
2557.714561,398,3084.790367
2173.970673,475,3089.783958
2197.837933,370,3093.725753
1427.51897,225,3101.422665
2578.329553,508,3106.571379
2800.826527,484,3111.289272
2531.414333,397,3115.233479
2456.979596,374,3119.17007
2516.147457,462,3123.985672
1974.49954,438,3128.5737
3135.057075,522,3133.861043
2693.582708,416,3138.092826
2322.776859,390,3142.06803
1885.119743,508,3147.094383
2507.746559,377,3150.721476
2631.472287,386,3154.547155
2722.864282,460,3159.323413
2636.314292,376,3162.980044
2428.954728,410,3167.42077
2714.642703,390,3171.552864
2615.348801,347,3177.224621
8.508257,122,3179.610084
2443.522846,351,3185.240461
266.370279,233,3187.692138
2450.670208,375,3191.380763
2746.865904,413,3195.634386
2547.973342,400,3199.793098
2643.861555,461,3204.255762
2577.659705,332,3207.435452
251.239526,68,3212.331393
5.279158,109,3213.516638
-280.408666,211,3215.569845
2646.306178,546,3221.110729
363.151069,560,3228.173558
2730.944983,386,3235.943186
2469.159653,382,3243.529668
2741.845623,386,3251.031839
2629.352994,384,3257.004059
2665.133115,381,3261.337844
1835.057217,314,3264.931599
2484.513699,371,3268.994651
2488.978729,337,3272.582372
2576.563389,400,3277.003248
2452.294349,413,3281.600073
2405.991476,412,3286.939059
2638.00595,365,3294.470016
2561.568211,355,3301.929991
2654.52831,376,3309.891382
2639.923013,397,3318.350508
2551.208388,353,3325.864308
2780.867003,382,3334.044329
2243.594062,401,3342.679474
2331.466127,462,3352.299936
2554.786125,369,3360.331806
2377.35791,404,3368.911018
2515.543208,469,3378.921709
469.659534,75,3388.247132
-365.50042,126,3390.965951
2166.005026,405,3398.773576
2620.320714,412,3406.664648
112.706501,94,3408.442495
2585.764006,395,3415.884742
382.484645,103,3417.791395
-78.279503,342,3424.37856
2412.538833,360,3431.34041
2615.289118,394,3438.778633
2606.271792,384,3445.992433
2511.186907,371,3453.125138
2600.585402,418,3461.101774
270.95508,105,3463.065559
2584.070682,393,3470.470182
2231.938735,395,3477.984788
2272.690125,570,3488.677928
2258.337532,420,3496.577408
2453.024037,375,3502.946984
2069.527639,384,3506.683787
2332.490811,328,3509.958314
2666.448626,428,3514.362024
2497.61182,375,3517.964626
2575.949793,371,3521.800421
2343.342649,369,3525.462353
2285.66347,395,3529.58426
2610.437286,378,3533.586795
2605.292231,346,3536.880821
317.215093,108,3537.944538
2579.355163,377,3546.16101
472.76418,79,3558.770022
320.932751,172,3562.878759
169.829643,181,3565.203281
2673.036811,497,3570.132418
2567.268644,390,3573.857895
948.304924,274,3576.628798
2556.603176,358,3581.210916
518.492289,240,3586.13566
2383.479126,363,3593.236623
2379.137289,376,3600.651379
2365.971023,379,3608.133234
2576.016117,383,3615.580603
2426.049778,372,3622.83799
611.440462,187,3626.44898
657.727005,207,3630.572562
2564.478609,365,3637.667238
2267.031299,360,3644.769125
2370.019527,374,3652.129054
2379.015766,360,3659.081602
2189.383205,384,3666.582588
2641.266762,382,3673.997133
2583.98687,429,3682.410283
773.909885,323,3688.656855
2442.346995,382,3696.086519
2218.880901,390,3703.686663
2254.068488,383,3711.609267
1118.538947,772,3726.607004
-367.543982,101,3729.638272
2455.697876,357,3741.932932
1031.272467,247,3745.788053
23.275731,12,3750.280285
-662.792974,144,3751.939075
2425.867361,436,3756.934106
257.613716,193,3759.185612
58.064903,81,3760.094723
198.109795,369,3764.322277
496.979772,274,3767.475413
542.340941,114,3768.859074
497.882523,118,3770.232038
2319.80797,391,3774.628512
747.885464,157,3776.389346
685.10617,184,3778.455851
2598.369589,386,3782.655697
2424.615274,428,3787.578245
2488.878912,360,3791.557119
2505.057586,378,3800.866027
2381.313599,340,3809.199944
2394.401821,371,3816.966953
2515.679323,390,3821.495864
2782.527886,487,3827.226608
2608.61335,363,3831.493286
960.582305,184,3833.641058
936.465264,138,3835.252927
2864.201056,403,3840.059967
965.211219,141,3841.684525
2431.108268,392,3846.482258
2418.060351,334,3851.714805
2291.700163,433,3862.572674
2036.059736,411,3873.007205
2452.271766,335,3880.099324
2201.739413,373,3884.686685
875.842538,163,3886.79337
2317.845872,390,3891.821769
984.912571,182,3894.225559
1088.061046,157,3900.525794
2334.987383,596,3908.028523
96.989173,47,3908.652434
-38.032503,156,3910.495979
-600.161942,445,3915.750836
2488.025025,361,3920.007473
2335.123927,445,3925.422277
2298.323778,375,3929.686368
2528.635663,383,3934.107972
2316.352842,384,3938.509076
2561.058886,371,3942.70111
2682.978914,373,3946.91025
302.879417,82,3947.873492
2624.911227,358,3951.851719
2772.958169,390,3956.799087
2221.276523,383,3962.323357
2536.495499,428,3968.141322
2322.811378,361,3973.24466
2203.354171,382,3978.347921
14.762726,68,3979.272447
2484.817561,426,3985.28146
549.939886,103,3986.726608
2559.530627,331,3991.157001
2542.84687,373,3995.815373
2615.102867,359,4000.641088
2284.80463,379,4005.377854
2563.25599,355,4009.986528
2695.798298,416,4015.545658
1796.597747,380,4020.526752
2487.190873,376,4025.177922
692.692161,114,4031.290021
-2459.872203,2662,4062.135726
2634.988985,350,4065.866917
2450.803819,324,4069.258486
2585.607733,388,4073.302376
2260.276981,314,4077.103602
2464.866678,331,4081.594768
2584.689181,338,4085.828688
2466.069855,336,4090.183163
2608.956558,334,4094.639157
2438.472129,345,4098.921062
2448.907453,348,4103.642135
2313.694496,416,4109.145069
2540.750609,372,4114.051839
2488.202131,393,4119.117058
1043.161795,199,4121.832645
2377.817889,419,4127.245939
2654.224406,652,4135.744567
2329.179443,359,4140.353904
2369.037005,441,4145.404751
2384.526881,343,4149.734552
2350.364756,336,4158.856186
44.17202,117,4160.490549
-304.280353,153,4162.490138
1438.138768,267,4165.438466
2439.119049,425,4169.949588
2464.809733,423,4174.419598
289.599453,136,4175.8585
